Name,Make,Model,State,Last Annual Mileage
Anna Lee,Cadillac,Fleetwood,NY,13136
Sandra Smith,Datsun,710,PA,11788
Victoria Yu,Ford,Pantera,NJ,18229
Zachary Harrell,Datsun,710,CT,12471
Randall Burton,Porsche,914-2,NY,10531
Heather Simpson,Ferrari,Dino,VT,9546
Nicholas Cook,Porsche,914-2,NJ,16275
Christopher Rivera,Honda,Civic,MA,11585
Daniel Hart,Hornet,4,CT,8532
Courtney Reyes,Ferrari,Dino,NJ,12111
Shane Parker,Hornet,Sportabout,RI,14467
Christopher Hayden,Ferrari,Dino,NY,8790
Cynthia Reed,Toyota,Corolla,VT,14032
Brent Lee,Merc,450SL,NY,14562
Brent Lee,Merc,450SLC,NY,16176
Kenneth Williams,Fiat,128,NY,8329
Karen Floyd,Mazda,RX4b,NJ,10631
Sarah Bradley,Toyota,Corona,NJ,15504
Lisa Lee,Toyota,Corona,NY,18753
Robert Leon,Datsun,710,PA,17042
Casey Yang,Dodge,Challenger,NY,10009
Patrick Perez,Mazda,RX4b,NY,9909
Patrick Perez,Chrysler,Imperial,NY,15330
Alexander Alvarado,Honda,Civic,NY,19193
Alexander Alvarado,Lotus,Europa,NY,10460
Daniel Barrett,Dodge,Challenger,MA,15086
Amy Lewis,Pontiac,Firebird,NY,12225
Mary Martin,Pontiac,Firebird,CT,12904
Deanna Schmidt,Fiat,128,MA,19479
Sarah Kennedy,Hornet,4,PA,8703
Sarah Kennedy,Dodge,Challenger,PA,11592
Bryan Williams,Maserati,Bora,NY,18819
Bryan Williams,Cadillac,Fleetwood,NY,14660
John Howell,Pontiac,Firebird,NJ,17428
Becky Pham,Lincoln,Continental,NY,10009
Brandon Schneider,Fiat,128,CT,17812
David Estrada,Mazda,RX4b,MA,13722
John Marks,Pontiac,Firebird,NY,19638
John Harrington,Dodge,Challenger,NJ,19808
Katherine Perez,Dodge,Challenger,PA,16675
Russell Martin,Datsun,710,MA,18411
Robin Hammond,Maserati,Bora,MA,10102
David Rosario,Lincoln,Continental,MA,10499
Mary Clarke,AMC,Javelin,CT,17875
Kimberly Williams,Porsche,914-2,NY,14207
Joanna Rodgers,Camaro,Z28,NY,16001
Cesar Lee,Chrysler,Imperial,NJ,16881
Sarah Whitney,Porsche,914-2,MA,17854
Loretta Cruz,Pontiac,Firebird,NY,14949
Kristopher King,Mazda,RX4,NJ,19451
Katherine Mills,Toyota,Corolla,NJ,12417
Carl Rodriguez,Chrysler,Imperial,MA,18073
Carl Rodriguez,Ford,Pantera,MA,14541
Emily Fuller,Chrysler,Imperial,RI,12500
Brandon Miller,Mazda,RX4b,PA,16072
Robert Taylor,Mazda,RX4b,NY,10657
Rebecca Acevedo,Lincoln,Continental,MA,13830
Mark Ryan,Duster,360,NY,11449
Beth Osborn,Cadillac,,MA,12973
Lisa Livingston,Volvo,142E,RI,13963
David Roberts,Ferrari,Dino,NY,15117
Elizabeth Jordan,Merc,230,NH,11086
Jacob Perez,Pontiac,Firebird,CT,8835
Gregory Davis,Mazda,RX4,NY,18981
Michael Mckenzie,Mazda,RX4b,MA,19635
Tamara Smith,Volvo,142E,NY,17376
David Smith,Merc,450SL,MA,8778
Zachary Reese,Lincoln,Continental,MA,15980
Shaun Long,Chrysler,Imperial,CT,17319
Paul Kim,Duster,360,PA,12827
Cynthia Davis,Lotus,Europa,NJ,13052
Vincent Joyce,Honda,Civic,NY,19947
William Williams,Volvo,142E,NJ,11472
William Williams,Ford,Pantera,NJ,11303
Andrew Young,Chrysler,Imperial,MA,19178
Joseph Mills,Porsche,914-2,CT,16488
Stephanie Brown,Hornet,4,MA,19821
Michele Mitchell,Lotus,Europa,NJ,18489
Sierra Murphy,Duster,360,MA,10456
Taylor Olson,Lincoln,Continental,VT,19894
Laura Smith,Fiat,X1-9,NY,10470
Joshua Watkins,Hornet,Sportabout,ME,19929
Eric Osborn,Fiat,X1-9,NJ,11604
Scott Owens,Lincoln,Continental,MA,12352
Scott Owens,Toyota,Corona,MA,14426
Susan Stewart,Ford,Pantera,ME,19279
Dawn Armstrong,Camaro,Z28,ME,9249
Michael Walton,Ferrari,Dino,RI,16886
Michael Walton,Toyota,Corolla,RI,15341
Michael Walton,Duster,360,RI,10163
Melanie Tran,Cadillac,Fleetwood,CT,9128
Jennifer Nguyen,Duster,360,CT,12740
Jaclyn Wilson,Toyota,Corona,NY,8374
Deanna Johnson,Merc,240D,NY,16732
Jennifer Rios,Honda,Civic,MA,19345
Joshua Brown,Datsun,710,MA,18839
Taylor Hopkins,Merc,450SLC,RI,13819
Erin Parker,AMC,Javelin,NY,10790
Michael Joseph,Lincoln,Continental,ME,13076
Corey Hines,Honda,Civic,NJ,13802
Corey Hines,Datsun,710,NJ,16748
Corey Hines,Lotus,Europa,NJ,16523
David Guzman,Toyota,Corona,NJ,8508
Tonya Brown,Ferrari,Dino,NY,14187
Michael Hogan,Duster,360,MA,10081
Karen Martin,Ferrari,Dino,NJ,14626
Phillip Morales,Toyota,Corolla,NJ,16119
Phillip Morales,Honda,Civic,NJ,15814
Katherine Hill,Pontiac,Firebird,NJ,18477
David Dickerson,Mazda,RX4b,NY,19325
David Dickerson,Mazda,RX4,NY,15669
Vanessa Nelson,Chrysler,Imperial,NY,10354
Michael Brooks,Datsun,710,RI,17663
Carol Clark,Ford,Pantera,CT,19396
William Prince,Merc,240D,ME,15822
John Ellison,Chrysler,Imperial,NJ,14873
Richard Juarez,Maserati,Bora,MA,9024
Earl Russell,Mazda,RX4b,MA,10765
Kenneth Manning,Porsche,914-2,NJ,11306
Tiffany Williams,Lotus,Europa,PA,15584
Adam Mack,Cadillac,Fleetwood,NJ,16211
Mark Wood,AMC,Javelin,NY,14506
Paul Davis,Fiat,128,NH,10104
Richard Jordan,Porsche,914-2,PA,18608
Jessica Gomez,Honda,Civic,NY,14361
Alexis Wilson,Lincoln,Continental,CT,16466
Destiny Glover,Porsche,914-2,NH,16817
Destiny Glover,Pontiac,Firebird,NH,8234
Kevin Lane,Ford,Pantera,MA,9586
Kevin Lane,Pontiac,Firebird,MA,17062
John Brown,Duster,360,NH,19443
David Johnson,Chrysler,Imperial,MA,9805
Fernando Chen,Ferrari,,NJ,18261
Fernando Chen,Mazda,RX4b,NJ,10070
Maurice Hansen,Porsche,914-2,NY,13939
Edwin Nunez,Porsche,914-2,MA,16349
Christopher Ward,Lotus,Europa,CT,16439
Pamela Melendez,Volvo,142E,NY,10724
Victoria Watson,Porsche,914-2,NH,17290
Kayla Morgan,Chrysler,Imperial,VT,15309
Lindsay Olson,Chrysler,Imperial,RI,18343
Logan Patterson,Hornet,Sportabout,MA,19267
Jeffrey Terry,Fiat,X1-9,NY,19034
Jeffrey Terry,Maserati,Bora,NY,19188
Paul Roberts,Maserati,Bora,PA,16942
Vickie Bartlett,Chrysler,Imperial,NY,13711
Vickie Bartlett,Porsche,914-2,NY,17403
Levi Stewart,Mazda,RX4,NJ,19102
Ann Zuniga,Volvo,,PA,10436
Edward Tyler,Pontiac,Firebird,NH,14892
Edward Tyler,Lincoln,Continental,NH,19866
Edward Tyler,Fiat,128,NH,10211
Kristi Rivera,Porsche,914-2,NY,13000
Michele Johnson,Maserati,Bora,ME,15627
Jacqueline Moran,AMC,Javelin,NY,12139
Alyssa Powell,Merc,280,NJ,14122
James Mooney,Ford,Pantera,CT,12502
Jeffrey Young,Lotus,Europa,RI,13392
Christine White,Mazda,RX4b,NY,10403
Tina Martinez,Chrysler,Imperial,CT,17955
Penny Callahan,Hornet,4,NY,16641
Kenneth Johnson,Honda,Civic,NY,15790
Hannah Best,AMC,Javelin,NJ,13595
Hannah Best,Cadillac,Fleetwood,NJ,18997
Carol Dunn,Ferrari,Dino,NY,9173
Kevin Ryan,Merc,450SE,MA,16409
Kevin Ryan,Volvo,142E,MA,14325
Curtis Cox,Fiat,X1-9,NJ,8161
John Wilson,Lotus,Europa,PA,15620
Stephanie Malone,Porsche,914-2,NY,14507
Emily Knight,Mazda,RX4,NY,11170
Amanda Hughes,Camaro,Z28,NY,8872
David Lee,Volvo,142E,NY,8672
Miranda Griffin,Cadillac,Fleetwood,NH,9963
Miranda Griffin,Duster,360,NH,10510
Monica Decker,Fiat,X1-9,NY,17147
Joy Alvarado,Hornet,4,MA,8418
Patrick Rose,Fiat,128,NY,17823
Pamela Lopez,Merc,450SL,ME,19205
Alexander Golden,Merc,280C,CT,17603
Jocelyn Bowen,Chrysler,Imperial,PA,9590
Donna Coleman,Dodge,Challenger,NJ,9552
Paul Fernandez,Volvo,142E,CT,11728
Peggy Hill,AMC,Javelin,NH,15873
Maria Hendrix,Lotus,Europa,ME,12741
Brianna Carlson,Hornet,4,ME,12007
Shannon Knight,Porsche,914-2,ME,11717
Angela Love,Chrysler,Imperial,ME,11371
Angela Love,Lotus,Europa,ME,17202
Ashley Morales,Lotus,Europa,MA,9525
Eugene Chavez,AMC,Javelin,PA,16552
Carla Mills,Dodge,Challenger,NJ,11481
James Woods,Ford,Pantera,NJ,16709
James Woods,Maserati,Bora,NJ,9757
Gregory Proctor,Ford,,NH,9070
Jose Martinez,Volvo,142E,RI,11957
Daniel Bryant,Merc,230,PA,11855
Jeffery Coleman,Merc,280C,PA,17703
Kevin Knight,Datsun,710,NY,15427
Kevin Knight,Merc,280C,NY,17559
Dennis Smith,Dodge,Challenger,ME,8230
Spencer Newman,Maserati,Bora,CT,14283
Ryan Ryan,Ford,Pantera,NY,12414
Sharon West,Lotus,Europa,NY,17883
Curtis Day,Duster,360,NJ,14440
Daryl Lewis,Ford,Pantera,NJ,10174
Tracey Villanueva,Duster,360,NY,15174
Amanda Hinton,Camaro,Z28,NY,12948
Tina Bell,Honda,Civic,NH,9701
Tina Bell,Porsche,914-2,NH,15268
Lindsey Ramirez,Volvo,142E,NJ,16811
Rodney Townsend,Ferrari,Dino,MA,10507
James Lee,Hornet,4,MA,8503
Joseph Macias,AMC,Javelin,NY,11802
David Perez,Lotus,Europa,NY,18923
Marcus Mills,Toyota,Corolla,NJ,12995
Marcus Mills,Hornet,Sportabout,NJ,12826
Melissa Perez,Ford,Pantera,NY,11023
Karl Livingston,Honda,Civic,NJ,8740
Kenneth Walker,Chrysler,Imperial,MA,14234
Kenneth Walker,Hornet,4,MA,17629
Barbara Webb,Cadillac,,NJ,12357
Barbara Webb,Duster,360,NJ,15413
Michael Cooper,Ford,Pantera,NY,10374
Wendy Johnson,Duster,360,NY,14222
Miranda Alexander,Ferrari,Dino,NY,17941
Miranda Alexander,Porsche,914-2,NY,11523
Angela Cunningham,Lotus,Europa,VT,18467
Amy Spencer,Porsche,914-2,MA,9901
Cory Romero,Merc,450SLC,NY,13753
Cory Romero,Volvo,142E,NY,8370
Karen Harmon,Maserati,Bora,RI,9277
Ashley Diaz,Honda,Civic,RI,10437
Elizabeth Hancock,Camaro,Z28,NY,9383
Cynthia Mccoy,Datsun,710,MA,8395
Rachel Wells,Dodge,Challenger,MA,11162
Rachel Wells,Honda,Civic,MA,11669
Randall Pitts,AMC,Javelin,PA,12188
Thomas Miller,Porsche,914-2,MA,8414
James Decker,Datsun,710,CT,13782
Tony Carter,Chrysler,Imperial,CT,19469
Amy Smith,Toyota,Corolla,MA,14183
Casey Sherman,Lotus,Europa,MA,17742
Michele Fuller,Porsche,914-2,NY,8289
Amber Mendez,Pontiac,Firebird,CT,9668
Timothy Collins,Pontiac,Firebird,PA,19850
Alicia Burke,Fiat,X1-9,NJ,10305
Tiffany Thompson,Dodge,Challenger,MA,14067
Jackie Hanson,Toyota,Corona,NH,15577
Nicole Burke,Pontiac,Firebird,NY,10693
Laura Little,AMC,Javelin,NY,18064
Michael Rush,Dodge,Challenger,NY,13545
Clayton Beck,Pontiac,Firebird,NJ,14355
Cassandra Medina,Maserati,Bora,NJ,12928
Diane Kirk,Ferrari,Dino,NY,9063
Kathleen Wilson,Porsche,914-2,NJ,15635
Tiffany Munoz,Fiat,128,NY,17887
Bonnie Taylor,Volvo,142E,RI,10557
Barbara Bennett,Pontiac,Firebird,VT,13361
Barbara Bennett,Datsun,710,VT,16338
Jodi Collins,Ford,Pantera,NY,13242
Barbara Watson,Duster,360,NY,9702
Linda Barker,Merc,280,NH,8650
Darlene Gross,Honda,Civic,MA,13094
Lucas Nelson,Toyota,Corona,MA,12544
William Wright,Fiat,128,NJ,12414
Eileen Goodman,Volvo,142E,MA,19100
Sarah Lopez,Merc,240D,NJ,18459
Melissa Martin,AMC,Javelin,RI,19276
Jeffrey Yu,Honda,Civic,NY,18466
David Archer,Honda,,VT,13852
Tracy Conley,Merc,280,NY,9736
Lisa Garza,Cadillac,Fleetwood,NY,14883
Lisa Garza,Chrysler,Imperial,NY,15036
Jill Montoya,Merc,280,NY,15734
Jill Montoya,Ford,Pantera,NY,12329
Christina Crosby,Toyota,Corolla,NJ,14298
Kathleen Foley,Mazda,RX4b,ME,13793
Michael Rodriguez,Chrysler,Imperial,CT,13786
Derek Mcbride,Datsun,710,CT,17045
Benjamin Kane,Datsun,710,PA,10726
Samuel Carter,AMC,Javelin,NY,15387
Briana Fletcher,Lincoln,Continental,MA,17952
Robert Hoffman,Toyota,Corolla,NY,19574
Robert Hoffman,Maserati,Bora,NY,13671
Cheryl Wyatt,Lincoln,Continental,ME,18367
Cheryl Wyatt,Cadillac,Fleetwood,ME,13636
Connie Banks,Pontiac,Firebird,NY,13280
Jessica Mayo,Mazda,RX4b,NY,18279
Jonathan Cruz,Mazda,RX4b,CT,11885
Jonathan Cruz,Hornet,4,CT,19590
John Garcia,Cadillac,Fleetwood,PA,9317
John Garcia,Ferrari,Dino,PA,18889
Marie Martin,Dodge,Challenger,ME,9722
Marie Martin,Pontiac,Firebird,ME,19988
Heather Stevenson,AMC,Javelin,PA,9205
Cory Farley,Porsche,914-2,NJ,9561
Devin Snyder,AMC,Javelin,MA,8904
Angie Perez,Hornet,Sportabout,NY,15793
Katelyn Gilmore,Cadillac,Fleetwood,MA,17313
Tiffany Davis,Toyota,Corona,NJ,10235
Terri Sullivan,Volvo,142E,MA,12148
Tiffany Parker,Pontiac,Firebird,CT,18618
Samuel Whitaker,Mazda,RX4b,NY,18628
Sheryl Holland,Chrysler,Imperial,PA,16485
Sheryl Holland,Duster,360,PA,18260
Benjamin Morris,Ford,Pantera,RI,18800
Drew Li,Cadillac,Fleetwood,NY,16674
Michele Hampton,Porsche,914-2,NY,10293
Daniel Flores,Volvo,142E,MA,14908
Brittany Silva,Volvo,142E,MA,15855
Daniel Baker,Camaro,Z28,NJ,8896
Daniel Baker,Datsun,710,NJ,9766
Michael Daniels,Hornet,4,NY,12701
Deanna Barnes,Cadillac,Fleetwood,VT,19256
Deanna Barnes,Hornet,4,VT,12199
Lisa Perry,Fiat,X1-9,VT,12002
Patricia Ayala,Fiat,X1-9,NH,18486
Michael Gomez,Datsun,710,NJ,17587
Sierra Acevedo,Toyota,Corona,ME,12457
Billy Brown,Fiat,X1-9,MA,19606
Cody Weber,Honda,Civic,CT,16624
Karen Contreras,AMC,Javelin,MA,19309
Karen Contreras,AMC,Javelin,MA,15304
Andre Yates,Fiat,X1-9,RI,19619
Natasha Wall,AMC,Javelin,NY,17857
Catherine Smith,Volvo,142E,MA,19142
Paul Miller,AMC,Javelin,NY,9415
Brittney Guerra,AMC,Javelin,NH,16724
Lisa Peters,Honda,Civic,MA,15768
Nicholas Baldwin,Volvo,142E,NJ,19627
Nicholas Baldwin,Datsun,710,NJ,10758
Chad Blankenship,Toyota,Corolla,MA,15536
Brittany Brooks,Dodge,Challenger,MA,12187
Steve Charles,AMC,Javelin,NY,14024
Patrick Cole,Volvo,142E,NY,17426
David Klein,Datsun,710,NY,18622
David Klein,Maserati,Bora,NY,11868
Valerie Roberts,Datsun,710,VT,13364
Shawn Johnson,Mazda,RX4b,MA,13298
Kelsey Caldwell,Mazda,RX4b,NH,13282
Kelsey Caldwell,Camaro,Z28,NH,17113
Kelsey Caldwell,Lotus,Europa,NH,18699
Melissa Russell,Ford,Pantera,NY,19416
Melissa Russell,Lotus,Europa,NY,14629
Nicole Saunders,Fiat,128,NY,10025
Joel Jenkins,Merc,450SL,MA,8526
Jennifer Graham,AMC,Javelin,NJ,12964
Jennifer Graham,Merc,450SL,NJ,13483
Denise Watson,Duster,360,VT,15822
Justin Hernandez,Volvo,142E,NJ,8544
Justin Hernandez,Cadillac,Fleetwood,NJ,10988
Renee Stewart,Chrysler,Imperial,CT,8692
Renee Stewart,Chrysler,Imperial,CT,18243
Dawn Stanley,Pontiac,Firebird,MA,13669
Joshua Harris,Fiat,128,ME,17381
Joshua Harris,Lotus,Europa,ME,15794
Michele Colon,Pontiac,Firebird,VT,14556
Michele Colon,Camaro,Z28,VT,15247
Jerry Bell,Maserati,Bora,CT,14032
Jerry Bell,Maserati,Bora,CT,16292
Christina Mccoy,Camaro,Z28,NY,13873
Olivia Pratt,Porsche,914-2,RI,13173
Michael Walker,Porsche,914-2,PA,11056
Frank Williams,Dodge,Challenger,NY,14624
Jocelyn Meyer,Cadillac,Fleetwood,MA,12389
Elizabeth Berry,Ferrari,Dino,NY,9210
Kyle Floyd,Hornet,4,MA,15691
Desiree Curry,Pontiac,Firebird,NY,8226
Wayne Anderson,Lotus,Europa,PA,13052
Alexander Lopez,Fiat,X1-9,CT,10902
Alexander Lopez,Cadillac,Fleetwood,CT,18222
Carly Huerta,Cadillac,Fleetwood,NY,18328
Carly Huerta,Datsun,710,NY,18715
Michelle Hicks,Honda,Civic,VT,18343
Anna Franklin,AMC,Javelin,VT,13408
Anna Franklin,Honda,Civic,VT,15953
Greg Nash,Pontiac,Firebird,VT,12607
Larry Diaz,Hornet,Sportabout,NY,9227
Sandra Walsh,Ford,Pantera,NH,18563
Mary Miller,Maserati,Bora,MA,17909
Mary Miller,Porsche,914-2,MA,18633
Sean Smith,Ford,Pantera,NJ,16837
Sean Smith,Merc,240D,NJ,17066
Melinda Jones,Datsun,710,VT,10620
John Nichols,Chrysler,Imperial,NY,16063
Brenda Turner,Cadillac,Fleetwood,MA,15907
Megan Bullock,Duster,360,PA,19902
Rachel Alexander,Lotus,Europa,MA,15482
Robert Smith,Camaro,Z28,NY,10995
Christopher Diaz,Duster,360,MA,9395
Connie Peterson,Mazda,RX4,NY,18062
Connie Peterson,Hornet,Sportabout,NY,8181
Amy Tate,Ferrari,,NJ,10094
Jennifer Obrien,Camaro,Z28,NY,9205
Keith Lopez,Hornet,Sportabout,NY,19542
Andrew Young,Ford,Pantera,NY,10646
Donna Jones,Dodge,,NY,8817
Rachael Lambert,Dodge,Challenger,RI,16542
Mark Williams,Ford,Pantera,PA,16457
Colleen Bullock,Maserati,Bora,NJ,18307
Jaclyn Davis,Merc,450SE,MA,17124
Leslie Escobar,Camaro,Z28,NJ,8181
Robert Phillips,Pontiac,Firebird,VT,17630
Cindy Lynn,Merc,280C,MA,9250
Keith Rose,Cadillac,Fleetwood,NJ,17493
Courtney Meyers,Pontiac,Firebird,VT,18468
Scott Bell,Dodge,Challenger,PA,10010
Javier Mcintosh,Pontiac,Firebird,NY,11523
Sara Hart,Lotus,Europa,CT,8926
Shelby Thomas,Chrysler,Imperial,NY,19247
Michael Price,Porsche,914-2,MA,8890
Michael Price,Cadillac,Fleetwood,MA,13030
Lauren Washington,Maserati,Bora,CT,18378
Richard Hughes,Honda,Civic,NY,15783
Richard Hughes,Merc,450SLC,NY,12597
Derek Gonzalez,Volvo,142E,CT,8989
Carolyn Allen,Cadillac,Fleetwood,NH,12053
Laura Richmond,Porsche,914-2,PA,19862
Jeffrey Wilson,Merc,450SL,NJ,12684
James Howard,Honda,Civic,NJ,14899
Dan Rodriguez,Lincoln,Continental,NJ,16812
Brittany Smith,Honda,Civic,PA,19397
Brittany Smith,Porsche,914-2,PA,14904
Sean Kim,Duster,360,NJ,8706
Sean Kim,Merc,230,NJ,13304
Wendy Dunn,Lotus,,CT,11950
Anthony Kaiser,Duster,360,RI,9225
Grace Baker,Fiat,128,NY,12241
Anthony Miles,Camaro,Z28,NY,15263
Wendy Kennedy,Fiat,128,NJ,13999
Amanda Rush,Fiat,128,CT,19881
Deanna Fowler,Ferrari,Dino,NY,11439
Latoya Ward,Ford,Pantera,ME,15496
Lauren Chan,Duster,360,RI,8548
Melanie Davis,AMC,Javelin,NY,11948
Ricky Aguilar,Cadillac,Fleetwood,VT,14168
Nathan Silva,Hornet,Sportabout,NJ,9519
Michael Myers,Porsche,914-2,RI,9628
Tracy Wells,Chrysler,Imperial,NY,12737
Ashley Flores,Pontiac,Firebird,MA,9677
Sherri Romero,Pontiac,Firebird,NJ,11759
Sherri Romero,Lincoln,Continental,NJ,9364
Charles Clark,Mazda,RX4,NY,17661
Gary Salazar,Lincoln,Continental,RI,17171
Nathan Hernandez,Fiat,128,NY,11313
Kathryn Davis,Chrysler,Imperial,PA,15526
Thomas Miller,Camaro,Z28,VT,14166
Ashley Johnson,Lincoln,Continental,NJ,11326
Kimberly Walker,Maserati,Bora,RI,18486
Kimberly Walker,Camaro,Z28,RI,13767
Rachel Bridges,Ferrari,Dino,NJ,19093
Timothy Patterson,Chrysler,Imperial,NY,8559
Timothy Patterson,Pontiac,Firebird,NY,12132
Peter Wright,Toyota,Corona,NH,19939
Peter Wright,Chrysler,Imperial,NH,17362
Samantha Pena,Maserati,Bora,CT,9763
Tammy Brown,Fiat,X1-9,VT,15349
Holly Jenkins,Toyota,Corona,NH,12902
John Williams,Duster,360,RI,16661
Brianna Howard,Ford,Pantera,MA,10111
Daniel Morris,Volvo,142E,ME,13595
Brandi Higgins,Ford,Pantera,NY,9838
Danielle Finley,Porsche,914-2,MA,19804
Nathan Holder,Porsche,914-2,RI,18089
Nathan Smith,AMC,Javelin,NY,11327
Kevin Adams,Pontiac,Firebird,NH,9250
Kevin Adams,Duster,360,NH,17249
Kevin Dunn,Toyota,Corolla,PA,15330
Spencer Dillon,Maserati,Bora,NJ,12857
Robert Thomas,Chrysler,Imperial,MA,8859
Deborah Lawson,Datsun,710,NY,14207
Deborah Lawson,Merc,450SL,NY,16854
Michael Lewis,Ferrari,Dino,MA,12104
Clayton Contreras,Datsun,710,NY,16513
Clayton Contreras,Volvo,142E,NY,8066
Clayton Contreras,Maserati,Bora,NY,8667
Brittany Schroeder,Chrysler,Imperial,PA,13533
Emma Rose,Merc,280C,PA,19955
Whitney Nichols,Toyota,Corona,NY,15177
Whitney Nichols,Mazda,RX4,NY,8390
Jacob Cross,Maserati,Bora,CT,9071
Katelyn Chung,Cadillac,Fleetwood,NJ,19720
Molly Maldonado,Cadillac,Fleetwood,CT,17553
Megan Robinson,Merc,450SE,MA,17243
Christina Hinton,Datsun,710,CT,16067
Scott Cardenas,Fiat,X1-9,MA,17918
Patrick Garcia,Cadillac,Fleetwood,RI,8645
Chad Baker,Pontiac,Firebird,NY,18136
Spencer Pittman,Cadillac,Fleetwood,NY,16430
Nathan Jackson,AMC,Javelin,NJ,8907
David Lloyd,Hornet,4,NY,17929
Spencer Long,Ferrari,Dino,NJ,11741
Anthony Diaz,Mazda,RX4b,RI,8672
Brittany Klein,Lincoln,Continental,ME,10774
Valerie King,Maserati,Bora,ME,9122
Martin Ross,Ferrari,Dino,CT,15227
Samantha Santiago,Ford,Pantera,PA,13655
Samantha Santiago,Duster,360,PA,9363
Robert Villegas,Chrysler,Imperial,PA,9152
Kelly Harper,AMC,Javelin,NJ,8925
Corey Proctor,Duster,360,PA,15761
Brian Robinson,Pontiac,Firebird,RI,19495
Susan Barnes,Mazda,RX4b,MA,10011
Susan Barnes,Lotus,Europa,MA,14292
Jonathon Sanchez,Porsche,914-2,NY,14801
Jonathon Sanchez,Hornet,Sportabout,NY,14362
Sierra Chase,AMC,Javelin,NY,17488
Jason Gonzales,Pontiac,Firebird,PA,19492
Jason Gonzales,Ford,Pantera,PA,12405
James Johnson,Mazda,RX4,PA,17216
Amber Williams,Chrysler,Imperial,NY,11490
Bryan Green,Ferrari,Dino,NJ,14606
Elizabeth Marshall,Maserati,Bora,NJ,19816
Amanda Dennis,Hornet,4,MA,13935
Amanda Dennis,AMC,Javelin,MA,12492
Christine Campbell,Porsche,914-2,PA,15925
Christine Campbell,Maserati,Bora,PA,8674
Dawn Rivas,Mazda,RX4b,NY,10077
Denise Robbins,Chrysler,Imperial,ME,8641
Sherry Clark,Hornet,4,VT,10778
Michelle Mitchell,Fiat,128,NY,15163
